好食懶飛	好吃懶做
慳啲啦,慳d啦	省了吧
煞科	結束
嘰嘰趷趷,嘰嘰屹屹,嘰嘰訖訖,嘰嘰𠺝𠺝,齮齮齕齕	結結巴巴的
班戟	薄煎餅
瞓覺	睡覺
有眼睇	看見
羞家	羞人
趷腳	瘸腿
好聲	小心
開拖	交手
出年	明年
棉褸	棉大衣
甖,罌	瓦罐
食枉米	白吃飯
聽晚	明晚
孤寒	小氣
多數	大部分
唔係路	不對勁
笑口棗	芝麻棗
落吧	泡吧
鹹水草	席草
屙,痾	腹瀉
睇餸食飯	量入為出
偷睇	偷看
撈世界	混日子
好閒	沒什麼
巴士司機	公車司機
着數,著數	好處
駁嘴駁舌,駁咀駁舌	頂嘴
梅菜	梅乾菜
聽書	上課
打倒掟	倒過來
落妝	卸妝
捱更抵夜	熬夜
有陣時	有時候
唔得掂	不得了
度身訂做,度身定做,度身訂造	量身訂做
意頭	兆頭
親朋戚友	親戚朋友
巴閉	厲害
睇實	緊盯著
man	有男子氣概的
按金	押金
甩色	掉色
走鬼	躲警察
噚晚黑,尋晚黑,琴晚黑	昨晚
當堂	當場
斬件	剁成塊兒
焗,侷	迫
黃糖	紅糖
反口	反悔
攞苦嚟辛	自討苦吃
擦膠,膠擦,擦紙膠	橡皮擦
出便,出邊	外面
孭帶	背帶
環頭	管區
檐蛇,簷蛇,鹽蛇	壁虎
粒聲唔出	一聲不吭
鋪草皮	賭馬輸了錢
煲粥	煮粥
打簿	打存摺
un	懂
留低	留下
唚氣,噆氣,侵氣,噚氣,譖氣	羅嗦
求先	剛才
報串,報寸	告密
口立濕,口𣲷濕	零食
識到	認識
求其	隨便
電飯煲	電飯鍋
收數佬	收賬的
pizza	比薩餅
咕喱,咕哩	苦力
湊大	帶大
唔該	謝謝
扎醒	驚醒
miss	女老師
蛇頭鼠眼	賊頭賊眼
冚,扻,𢫏	嚴密
佗衰家,陀衰家	害人精
紹酒	紹興黃酒
唞	休息
認低威	服輸
糯米糍	江米糰子
差天共地	天壤之別
朘朘,啫啫,䘒䘒,jer jer,脧,啫,䘒,jer	而已
嗌交	吵架
有碗話碗，有碟話碟	有一說一，有二說二
唔多	不大
實係	肯定
鯁頸	噎
帶眼識人	小心交友
面懵懵	糊塗
唔啹,唔gur	不忿
㷫烚烚	熱辣辣
一時三刻	一時
出老千	作弊
牛記	牛仔褲
平安紙	遺囑
feel	感覺
卡士	演員陣容
密質質	密密麻麻
阻埞,阻碇,阻定	礙事
賓賓	菲傭
照辦煮碗,照版煮碗,照板煮碗	如法炮製
啱	湊巧
郁,喐,逳	揍
丙,抦	打
過海	渡江
舅母,妗母	舅媽
煞食,殺食	有效
易過食生菜	易如反掌
間花腩	五花肉
今次	這次
唔熟性	不懂事
茄,𡲢,ke	茄子
忟憎,𤷪𤺧	暴躁
戟	糕餅
噉,咁	那麼
曱甴,甴曱	蟑螂
嘅	的
入去	進去
眼厲厲,眼矋矋	斜著看人
唔理	不管
頸渴	口渴
入屋叫人，入廟拜神	入鄉隨俗
龍精虎猛	生龍活虎
萌塞,盟塞,盲塞	固執
嚟	來
均真,君真	認真
嚇窒	嚇呆了
咪	就…
冚,𢫏	嚴密
折墮	倒霉
補數	補
靈灰	骨灰
解夢	圓夢
砌生豬肉	陷害
不單止,不單只	不但
生雪	人造冰
噒,lun	啃
陰司紙	紙錢
講多錯多	言多必失
屎塔	馬桶
唔受得	受不了
兩老	老倆口
打格仔	打上馬賽克
屎窟窿,屎忽窿	屁股眼
電話咭	電話卡
嗌	喊
花哩花碌,花呢花碌	花裡胡哨
吊靴鬼	胡攪蠻纏的人
人辦	樣版
先至	才
右便	右邊
錢罌,錢甖	撲滿
花士苓,花士令	凡士林
㷫	生氣
手指模	指印
check	查
BB,啤啤	哨子
𢯎晒頭,R晒頭	傷腦筋
易話為	好商量
曬冷,晒冷	沙蟹
戒口	忌口
唔使講	不用說
整蠱做怪,整古做怪,整蠱作怪,整古作怪	裝神弄鬼
結他手	吉他手
鬼婆	洋女人
普羅大眾	市民
冇花冇假	真實的
舊陣時	過去
半唐番	半中不西
大褸	大衣
𨋢槽	電梯井
餅咭,餅卡	餅券
食白果	輸光
嚡	粗糙
油角	油炸餃子
檸水	檸檬水
上晝	上午
啱數	正合適
扮豬食老虎	佯裝愚蠢
唔得	不行
趣怪	有趣
點話點好	怎麼都可以
回水	退錢
肉赤	心疼
伯爺婆	老婆婆
BB,啤啤	哨子
唔係呀嘛	真的嗎？
調位	換位
爛瞓	貪睡
執正	按原則
起枕	長繭子
柴可夫	司機
去街	上街
承你貴言	託您的福
溪錢	紙錢
底裙	襯裙
鋸扒	吃牛排
阻住地球轉,阻住個地球轉	形容某些人阻礙人家發展
聽講話	聽說
波鞋	球鞋
乞嚏,乞嗤	噴嚏
亻,企人邊,單企人	單人旁
眼瞓	睏
人哋	人家
唔緊要	不要緊
瞌	合眼
嗰隻嘢	那傢伙
敗家精	敗家子
hang機,輕機	當機
沙河粉	米粉條
走雪	去冰
年初一	大年初一
裝飯	盛飯
啡色	咖啡色
小學雞	小學生
第時,第二時	以後
高竇	傲慢
有拖冇欠	有借有還
揈	甩
扯貓尾	演雙簧
的士	出租車
講一套做一套	口不對心
冇碇企,冇埞企	無立足之地
雞啄唔斷	說話沒個完
唔好意思	不好意思
監倉	監獄
平靚正	又便宜又好
電油	汽油
冇料	水平低
嘢	東西
蜞乸	螞蟥
專登	故意
爆樽	砸瓶
蛤𧊅	青蛙
火遮眼	發大火
黐線,黐綫,痴線,癡線,痴綫	神經病
波子棋	跳棋
撍,撏	抽
翳	陰暗
cute,Q	可愛
客仔	客戶
呔	輪胎
得戚,得敕	得意
包租婆	二房東太太
蚊都瞓	太晚
蘇蝦,臊蝦	嬰兒
聖誕咭,聖誕卡	聖誕卡
keep	盯
貓樣	德行
提子	葡萄
啋	呸
邊度	哪裡
爆格	發生搶劫案
布冧	洋李子
慫	慫慂
咀	親吻
纈	結
watt	瓦
豬膶,豬潤	豬肝
林柿,腍柿	柿子
假假地,假假哋	總算
靚	美
仔乸	母子
喉嚨痛	嗓子疼
坐月	坐月子
吹水	吹牛
花樽	花瓶
擺檔	擺攤子
雞扒	雞排
打鼻鼾	打呼嚕
一世	一輩子
檸茶	檸檬茶
一支公,一枝公	一個人
𥅾,䁓,𥊙	看
飲勝	乾杯
鉸剪,較剪	剪刀
追斬	追殺
激氣	氣人
妹仔大過主人婆	反客為主
長氣	囉唆
逢親	凡是
啹,gur	順心
啲,D	一些
墨硯	硯台
揼,𢱕	磨蹭
行貨	大路貨
摷,耖	捶
闔府統請	府上諸人均在邀請之列
入樽	扣籃
老番冬	聖誕節
油器	油炸食物
橡筋	橡皮圈
士啤呔	後備車輪
揼心口,抌心口	捶胸
打冷震	發抖
煲老藕	找老伴
M巾	衛生巾
時不時	有時
屎窟,屎忽	屁股
夠皮	夠本
閂	關
捉字蝨,捉字虱	摳字眼兒
亂噏廿四,亂up廿四	胡說八道
聽朝早	明早
talk	說話
惡做	難辦
講多無謂,講就無謂	多說無用
身水身汗	汗流浹背
安士,盎士	盎司
攊走,搦走	拿走
喳喳,喳咋	鈸
牛頭唔搭馬嘴	不相干
買少見少	越來越少
一額汗	一把汗
灰水	石灰水
傾電話	聊電話
魚蛋	魚丸
事幹	事兒
拖手	牽手
犭,狗爪邊,拉狗邊	犬部
姣屍燉篤,姣屍扽篤	故作嬌媚
冇心裝載	不關心
紅鬚綠眼	洋人
收聲	住口
下低	下面
左便	左邊
揸主意	拿主意
攪珠	抽籤
桔	橘子
牛一	生日
埞	地方
呃人	騙人
後鑊,候鑊	廚師
咁	這麼
鬆人	溜
年卅晚,年三十晚	除夕
吞槍	飲彈
放貴利	放高利貸
甘筍	紅蘿蔔
埋口	愈合
唔死都冇用	活著也浪費空氣
鬧交	吵架
點知	不料
對家	對面
碌	滾
唔夠攝牙罅	不夠塞牙縫兒
大前日	大前天
當更	值班
俾面,畀面	賞臉
冇面	沒面子
頭先	剛剛
噏得就噏	胡說
呃錢	騙錢
蚊滋,蚊螆	蚊子
收線	掛電話
大唔透	老小孩
肉隨砧板上,肉俎砧板上	任人宰割
沙膽	大膽
睇唔起	看不起
起貨	裝貨
門匙	門鑰匙
早抖,早唞	晚安
hello,哈佬	喂！
落力	賣力
不特只,不特止,不特已	不但
攝高枕頭	想清楚
粗身大勢,粗身大細	懷孕
仔女	兒女
傢俬	傢俱
菲林	軟片
講大話	撒謊
睇上眼	看上
作反	造反
